exit_n,time,run
62,21.399999999999853,5
63,21.62499999999984,5
64,21.674999999999837,5
65,22.3249999999998,5
66,22.624999999999783,5
67,22.67499999999978,5
68,23.04999999999976,5
69,23.449999999999736,5
70,23.54999999999973,5
71,23.74999999999972,5
72,24.174999999999695,5
73,24.324999999999687,5
74,24.44999999999968,5
75,24.97499999999965,5
76,25.074999999999644,5
77,25.224999999999635,5
78,25.799999999999603,5
79,26.124999999999584,5
80,26.599999999999557,5
81,26.674999999999553,5
82,26.92499999999954,5
83,27.374999999999513,5
84,27.499999999999506,5
85,27.77499999999949,5
86,28.199999999999466,5
87,28.49999999999945,5
88,28.724999999999437,5
89,28.949999999999424,5
90,29.674999999999383,5
91,29.674999999999383,5
92,29.674999999999383,5
93,30.474999999999337,5
94,30.524999999999334,5
95,30.874999999999314,5
96,31.374999999999286,5
97,31.399999999999284,5
98,31.699999999999267,5
99,31.99999999999925,5
100,32.24999999999924,5
101,32.849999999999206,5
102,32.874999999999204,5
103,33.14999999999919,5
104,33.52499999999917,5
105,33.84999999999915,5
106,34.39999999999912,5
107,34.424999999999116,5
108,34.54999999999911,5
109,35.09999999999908,5
110,35.324999999999065,5
111,35.699999999999044,5
112,35.849999999999035,5
113,36.24999999999901,5
114,36.399999999999004,5
115,36.449999999999,5
116,37.249999999998956,5
117,37.29999999999895,5
118,37.34999999999895,5
119,38.324999999998894,5
120,38.42499999999889,5
121,38.474999999998886,5
122,39.07499999999885,5
123,39.32499999999884,5
124,39.374999999998835,5
125,39.62499999999882,5
126,40.0249999999988,5
127,40.249999999998785,5
128,40.599999999998765,5
129,40.74999999999876,5
130,41.52499999999871,5
131,41.54999999999871,5
132,41.59999999999871,5
133,42.27499999999867,5
134,42.349999999998666,5
135,42.59999999999865,5
136,42.77499999999864,5
137,43.19999999999862,5
138,43.424999999998604,5
139,43.87499999999858,5
140,44.099999999998566,5
141,44.22499999999856,5
142,44.799999999998526,5
143,44.974999999998516,5
144,45.09999999999851,5
145,45.47499999999849,5
146,45.67499999999848,5
147,46.02499999999846,5
148,46.32499999999844,5
149,46.44999999999843,5
